iter	Passed	Remaining
627	2185	1294
628	2187	1290
629	2192	1287
630	2196	1284
631	2200	1281
632	2203	1277
633	2208	1274
634	2213	1272
635	2217	1269
636	2220	1265
637	2224	1262
638	2230	1260
639	2234	1256
640	2237	1253
641	2242	1250
642	2246	1247
643	2249	1243
644	2253	1240
645	2256	1236
646	2258	1232
647	2261	1228
648	2264	1224
649	2268	1221
650	2271	1217
651	2274	1214
652	2277	1210
653	2280	1206
654	2285	1203
655	2288	1199
656	2291	1196
657	2295	1193
658	2301	1191
659	2304	1187
660	2307	1183
661	2309	1179
662	2314	1176
663	2317	1172
664	2320	1169
665	2324	1165
666	2326	1161
667	2331	1158
668	2335	1155
669	2338	1151
670	2340	1147
671	2345	1144
672	2349	1141
673	2353	1138
674	2355	1134
675	2358	1130
676	2363	1127
677	2367	1124
678	2372	1121
679	2376	1118
680	2382	1115
681	2386	1112
682	2390	1109
683	2394	1106
684	2402	1104
685	2406	1101
686	2412	1099
687	2417	1096
688	2420	1092
689	2424	1089
690	2426	1085
691	2431	1082
692	2435	1078
693	2438	1074
694	2441	1071
695	2447	1069
696	2451	1065
697	2455	1062
698	2464	1061
699	2468	1057
700	2472	1054
701	2476	1051
702	2480	1047
703	2483	1044
704	2488	1041
705	2493	1038
706	2497	1035
707	2505	1033
708	2510	1030
709	2513	1026
710	2518	1023
711	2523	1020
712	2527	1017
713	2532	1014
714	2540	1012
715	2545	1009
716	2554	1008
717	2561	1005
718	2566	1003
719	2576	1002
720	2581	998
721	2584	995
722	2593	993
723	2605	993
724	2611	990
725	2615	987
726	2619	983
727	2624	980
728	2628	977
729	2634	974
730	2640	971
731	2646	968
732	2651	965
733	2655	962
734	2658	958
735	2669	957
736	2674	954
737	2680	951
738	2685	948
739	2689	944
740	2692	941
741	2697	938
742	2701	934
743	2704	930
744	2707	926
745	2711	923
746	2715	919
747	2719	916
748	2723	912
749	2725	908
750	2731	905
751	2736	902
752	2740	899
753	2744	895
754	2749	892
755	2753	888
756	2758	885
757	2762	881
758	2766	878
759	2771	875
760	2774	871
761	2779	868
762	2783	864
763	2787	860
764	2791	857
765	2794	853
766	2797	849
767	2800	846
768	2806	843
769	2809	839
770	2814	835
771	2818	832
772	2823	829
773	2827	825
774	2832	822
775	2838	819
776	2844	816
777	2848	812
778	2853	809
779	2857	806
780	2861	802
781	2865	798
782	2872	796
783	2875	792
784	2879	788
785	2884	785
786	2888	781
787	2891	777
788	2894	774
789	2899	770
790	2904	767
791	2908	763
792	2911	760
793	2915	756
794	2919	752
795	2924	749
796	2928	745
797	2934	742
798	2938	739
799	2942	735
800	2945	731
801	2951	728
802	2955	724
803	2957	721
804	2960	717
805	2964	713
806	2968	710
807	2971	706
808	2976	702
809	2980	699
810	2985	695
811	2991	692
812	2994	688
813	3001	685
814	3005	682
815	3009	678
816	3013	674
817	3015	670
818	3019	667
819	3022	663
820	3027	660
821	3030	656
822	3033	652
823	3037	648
824	3043	645
825	3047	642
826	3052	638
827	3054	634
828	3058	630
829	3062	627
830	3065	623
831	3069	619
832	3074	616
833	3077	612
834	3081	608
835	3084	605
836	3090	601
837	3091	597
838	3093	593
839	3096	589
840	3099	586
841	3102	582
842	3108	578
843	3113	575
844	3116	571
845	3122	568
846	3126	564
847	3129	560
848	3132	557
849	3138	553
850	3141	550
851	3144	546
852	3147	542
853	3152	538
854	3157	535
855	3161	531
856	3164	527
857	3169	524
858	3172	520
859	3176	517
860	3179	513
861	3182	509
862	3187	506
863	3190	502
864	3193	498
865	3198	494
866	3201	491
867	3206	487
868	3210	483
869	3212	480
870	3217	476
871	3220	472
872	3224	469
873	3227	465
874	3230	461
875	3234	457
876	3239	454
877	3242	450
878	3245	446
879	3249	443
880	3252	439
881	3255	435
882	3258	431
883	3264	428
884	3268	424
885	3271	420
886	3274	417
887	3280	413
888	3284	410
889	3286	406
890	3290	402
891	3293	398
892	3298	395
893	3302	391
894	3306	387
895	3311	384
896	3316	380
897	3319	377
898	3322	373
899	3328	369
900	3331	366
901	3334	362
902	3337	358
903	3343	355
904	3346	351
905	3349	347
906	3352	343
907	3356	340
908	3362	336
909	3362	332
910	3366	328
911	3369	325
912	3374	321
913	3378	317
914	3382	314
915	3386	310
916	3390	306
917	3393	303
918	3398	299
919	3403	295
920	3407	292
921	3410	288
922	3414	284
923	3416	281
924	3420	277
925	3424	273
926	3428	270
927	3432	266
928	3436	262
929	3442	259
930	3445	255
931	3448	251
932	3451	247
933	3455	244
934	3458	240
935	3462	236
936	3467	233
937	3471	229
938	3474	225
939	3477	221
940	3482	218
941	3488	214
942	3492	211
943	3499	207
944	3503	203
945	3505	200
946	3508	196
947	3515	192
948	3520	189
949	3525	185
950	3528	181
951	3533	178
952	3537	174
953	3541	170
954	3544	167
955	3548	163
956	3551	159
957	3555	155
958	3558	152
959	3564	148
960	3569	144
961	3572	141
962	3575	137
963	3580	133
964	3585	130
965	3588	126
966	3592	122
967	3595	118
968	3599	115
969	3602	111
970	3605	107
971	3608	103
972	3611	100
973	3614	96
974	3618	92
975	3622	89
976	3626	85
977	3629	81
978	3632	77
979	3633	74
980	3637	70
981	3643	66
982	3646	63
983	3647	59
984	3650	55
985	3654	51
986	3660	48
987	3663	44
988	3665	40
989	3667	37
990	3670	33
991	3678	29
992	3681	25
993	3684	22
994	3687	18
995	3692	14
996	3696	11
997	3700	7
998	3703	3
999	3710	0
